序号,停车泊位总数,状态,停车场名称,备注,停车场地址,公园
1,53,是,莲花山公园-东北门停车场,-,莲花路41号,莲花山公园
3,180,是,莲花山公园-西区停车场,-,新洲路5010号,莲花山公园
5,109,是,深圳湾公园-红树林海滨生态公园西2号停车场,-,深圳湾公园红树林海滨生态公园西,深圳湾公园
7,475,是,深圳湾公园-日出剧场5号停车场,-,深圳湾公园日出剧场,深圳湾公园
9,327,是,深圳湾公园-海风运动公园8号停车场,-,深圳湾公园海风运动广场,深圳湾公园
11,89,是,笔架山公园西门停车场,-,福田区笋岗西路北100米,笔架山公园
13,78,是,荔枝公园通新岭停车场,-,"华强北街道同德路通心岭旁(荔枝公园西)",荔枝公园
15,260,是,阳台山森林公园大浪登山广场停车场,-,龙华区大浪街道布龙路385号,阳台山森林公园
17,41,是,中心公园C区停车场,-,福田区华富街道振华路1号,中心公园
18,108,是,中心公园D区停车场,-,振华西路深圳中心公园-D1区,中心公园
20,26,是,洪湖公园东侧门停车场,-,东侧门停车场,洪湖公园
21,27,是,洪湖公园西门停车场,-,西门停车场,洪湖公园
21,27,是,洪湖公园西门停车场,-,西门停车场,洪湖公园
21,27,是,洪湖公园西门停车场,-,西门停车场,洪湖公园
20,26,是,洪湖公园东侧门停车场,-,东侧门停车场,洪湖公园
19,44,是,洪湖公园东大门停车场,-,东大门停车场,洪湖公园
18,67,是,红岗公园停车场,-,红岗公园东马岭大门岗,红岗公园
17,251,是,阳台山森林公园大浪登山广场停车场,-,深圳市龙华区大浪街道布龙路旁,阳台山森林公园
16,57,是,皇岗公园南门停车场,（含10个充电车位）,深圳市福田区福强路2088号,皇岗公园
15,20,是,儿童公园北门停车场,-,儿童公园北门,儿童公园
14,35,是,儿童乐园北门停车场,-,福田区农林路71号,儿童乐园
13,168,是,中心公园停车场,"其中A区33个，B区37个，C2区34个，D1区64个",中心公园A区，B区，C2区，D1区,中心公园
12,236,是,园博园南门停车场及地下车库,236个车位，地上159、地下77.,公园南区,园博园
11,325,是,深圳湾公园海风运动公园停车场,-,深圳市福田区滨海大道南侧深圳湾公园内,深圳湾公园
10,204,是,深圳湾公园红树林东、西及A1段停车场,-,深圳市福田区滨海大道南侧深圳湾公园内,深圳湾公园
9,412,是,深圳湾公园海韵、日出停车场,-,深圳市福田区滨海大道南侧深圳湾公园内,深圳湾公园
8,492,是,深圳湾公园北湾、婚庆、观桥停车场,-,深圳市福田区滨海大道南侧深圳湾公园内,深圳湾公园
7,39,是,人民公园西门停车场,-,人民公园西门停车场,人民公园
6,378,是,莲花山公园东南门、东北门和西侧停车场,"这项物业包括东南门停车场、东北门停车场和西侧停车场共三处。","市福田区红荔路6030号莲花山公园东南门、东北门和西门",莲花山公园
5,79,是,荔枝公园通心岭停车场,-,福田区同德路通心岭停车场,荔枝公园
4,42,是,东湖公园南门停车场,-,南门停车场,东湖公园
3,40,是,东湖公园西门大停车场,-,东湖公园西门,东湖公园
2,210,是,笔架山公园南门停车场,-,笔架山公园南门,笔架山公园
1,84,是,笔架山公园东门停车场,"总车位84个,经营车位17个",笔架山公园东门办公楼综合楼前,笔架山公园
